Question,Answer
Why did General Sir Douglas Gracey declare martial law in Saigon?,"In Saigon, with violence between rival Vietnamese factions and French forces increasing, the British commander, General Sir Douglas Gracey, declared martial law."
"How did the Việt Minh leaders respond on September 24, 1945, to the increasing violence?","On 24 September, the Việt Minh leaders responded with a call for a general strike."
What significant event occurred in Hanoi in September 1945 involving the Chinese National Revolutionary Army?,"In the same month, a force of 200,000 Chinese National Revolutionary Army troops arrived in Hanoi to accept the surrender of the Japanese occupiers in northern Indochina."
What compromise did Hồ Chí Minh make with General Lu Han regarding the Communist Party and the government in Vietnam?,"Hồ Chí Minh made a compromise with their general, Lu Han, to dissolve the Communist Party and to hold an election that would yield a coalition government."
"Why did Chiang sign an agreement with France on March 6, 1946, recognizing Vietnam as an autonomous state?","When Chiang forced the French to give the French concessions in Shanghai back to China in exchange for withdrawing from northern Indochina, he had no choice but to sign an agreement with France on 6 March 1946 in which Vietnam would be recognized as an autonomous state in the Indochinese Federation and the French Union."
What led to the breakdown of the agreement between France and the Vietminh?,The agreement soon broke down.
"What was the purpose of the agreement signed on March 6, 1946, between France and Vietnam?","The purpose of the agreement, for both the French and Vietminh, was for Chiang's army to leave North Vietnam."
What happened in North Vietnam after the Chinese troops left?,Fighting broke out in the North soon after the Chinese left.
What challenge to the authenticity of a quote attributed to Hồ Chí Minh was raised by Historian Professor Liam Kelley?,"Historian Professor Liam Kelley of the University of Hawaii at Manoa on his Le Minh Khai's Asian History Blog challenged the authenticity of the alleged quote where Hồ Chí Minh said he ""would rather smell French shit for five years than eat Chinese shit for a thousand,"" noting that Stanley Karnow provided no source for the extended quote attributed to him in his 1983 Vietnam: A History and that the original quote was most likely forged by the Frenchman Paul Mus in his 1952 book Vietnam: Sociologie d'une Guerre."
Why did Hồ Chí Minh believe there was no danger of Chinese troops staying in Vietnam?,Mus was a supporter of French colonialism in Vietnam and Hồ Chí Minh believed there was no danger of Chinese troops staying in Vietnam.
What was the attitude of the Vietnamese towards French colonialism and Chinese aid during the period after 1949?,"The Vietnamese at the time were busy spreading anti-French propaganda as evidence of French atrocities in Vietnam emerged, while Hồ Chí Minh showed no qualms about accepting Chinese aid after 1949."
How did the Việt Minh collaborate with French colonial forces in 1945–1946?,"The Việt Minh then collaborated with French colonial forces to massacre supporters of rival Vietnamese nationalist movements in 1945–1946, and of the Trotskyists."
"What challenges did Trotskyism present to the Communist Party in Vietnam, particularly in Saigon-Cochinchina?","Trotskyism in Vietnam did not rival the Party outside of the major cities, but particularly in the South, in Saigon-Cochinchina, they had been a challenge."
What were the primary demands of the Trotskyists in Vietnam?,"From the outset, they had called for armed resistance to a French restoration and an immediate transfer of industry to workers and land to peasants."
What was Hồ Chí Minh's response when asked about the fate of the Trotskyist leader Tạ Thu Thâu by Daniel Guérin?,"The French Socialist leader Daniel Guérin recalls that when in Paris in 1946 he asked Hồ Chí Minh about the fate of the Trotskyist leader Tạ Thu Thâu, Hồ Chí Minh had replied, ""with unfeigned emotion,"" that ""'Thâu was a great patriot and we mourn him', but then a moment later added in a steady voice 'All those who do not follow the line which I have laid down will be broken.'"""
What was the outcome regarding non-Communist parties as the Communists gained power in Vietnam?,"The Communists eventually suppressed all non-Communist parties, but they failed to secure a peace deal with France."
What realization did the Democratic Republic of Vietnam government come to in the final days of 1946?,"In the final days of 1946, after a year of diplomatic failure and many concessions in agreements, such as the Dalat and Fontainebleau conferences, the Democratic Republic of Vietnam government found that war was inevitable."
How did the bombardment of Haiphong by the French Navy impact perceptions of France's intentions in Vietnam?,"The bombardment of Haiphong by the French Navy only strengthened the belief that France had no intention of allowing an autonomous, independent state in Vietnam."
What was the reported casualty count of Vietnamese civilians in Haiphong as a result of the French Navy's bombardment?,"The attack reportedly killed more than 6,000 Vietnamese civilians in Haiphong."
"What event occurred after French forces marched into Hanoi, the capital city of the Democratic Republic of Vietnam?","French forces marched into Hanoi, now the capital city of the Democratic Republic of Vietnam."
"What significant declaration did Hồ Chí Minh make on December 19, 1946, following the Haiphong incident?","On 19 December 1946, after the Haiphong incident, Hồ Chí Minh declared war against the French Union, marking the beginning of the Indochina War."
How did the Vietnam National Army initially engage the French forces?,"The Vietnam National Army, mostly armed with machetes and muskets immediately attacked."
What tactics did the Vietnam National Army employ during their assault on the French positions?,"They assaulted the French positions, smoking them out with straw bundled with chili pepper, destroying armored vehicles with ""lunge mines"" (a hollow-charge warhead on the end of a pole, detonated by thrusting the charge against the side of a tank; typically a suicide weapon) and Molotov cocktails, holding off attackers by using roadblocks, landmines and gravel."
What was the outcome after two months of fighting between the Việt Minh forces and the French?,"After two months of fighting, the exhausted Việt Minh forces withdrew after systematically destroying any valuable infrastructure."
What mistaken report circulated regarding Hồ Chí Minh during Operation Léa led by Jean Étienne Valluy?,"Hồ was mistakenly reported to be captured by a group of French soldiers, led by Jean Étienne Valluy at Việt Bắc, during Operation Léa."
"Who was the individual mistakenly reported to be Hồ Chí Minh during Operation Léa, and what was his fate?",The person in question turned out to be a Việt Minh advisor who was killed trying to escape.
"According to journalist Bernard Fall, what decision did Hồ Chí Minh make after fighting the French for several years?","According to journalist Bernard Fall, Hồ decided to negotiate a truce after fighting the French for several years."
What was the condition of the meeting site when the French negotiators arrived?,"When the French negotiators arrived at the meeting site, they found a mud hut with a thatched roof."
What was found inside the mud hut where the negotiations were supposed to take place?,Inside they found a long table with chairs.
What indication did the presence of a silver ice bucket and champagne bottle in the negotiation room give about Hồ Chí Minh's expectations?,"In one corner of the room, a silver ice bucket contained ice and a bottle of good champagne, indicating that Hồ expected the negotiations to succeed."
"What demand did the French make regarding the return of Japanese military officers, and why?",One demand by the French was the return to French custody of several Japanese military officers (who had been helping the Vietnamese armed forces by training them in the use of weapons of Japanese origin) for them to stand trial for war crimes committed during World War II.
How did Hồ Chí Minh respond to the French demand regarding the Japanese officers?,"Hồ Chí Minh replied that the Japanese officers were allies and friends whom he could not betray, therefore he walked out to seven more years of war."
"What significant meeting occurred in Moscow in February 1950, and who participated in it?","In February 1950, after the Battle of Route Coloniale 4 successfully removed the French border blockade, he met with Joseph Stalin and Mao Zedong in Moscow after the Soviet Union recognized his government."
What agreement was reached regarding China's support for the Việt Minh during the meeting in Moscow?,They all agreed that China would be responsible for backing the Việt Minh.
"What plans did China have regarding the training of Viet Minh forces, as stated by Mao Zedong's emissary to Moscow?","Mao Zedong's emissary to Moscow stated in August that China planned to train 60,000–70,000 Viet Minh shortly."
How did the Battle of Route Coloniale 4 impact the Việt Minh's ability to receive external support?,The road to the outside world was open for Việt Minh forces to receive additional supplies which would allow them to escalate the fight against the French regime throughout Indochina.
What statement attributed to Hồ Chí Minh reflected his attitude towards the conflict with the French?,"At the outset of the conflict, Hồ reportedly told a French visitor: ""You can kill ten of my men for every one I kill of yours."
How did the First Indochina War come to an end in 1954?,"But even at those odds, you will lose and I will win""."
What was the outcome of the Battle of Dien Bien Phu in 1954?,"In 1954, the First Indochina War came to an end after the decisive Battle of Dien Bien Phu, where more than 10,000 French soldiers surrendered to the Viet Minh."
What was the outcome of the subsequent Geneva Accords peace process?,The subsequent Geneva Accords peace process partitioned North Vietnam at the 17th parallel.
"According to Arthur Dommen, how many civilians does he estimate were killed by the Việt Minh during the war?","Arthur Dommen estimates that the Việt Minh killed between 100,000 and 150,000 civilians during the war."
"According to Benjamin Valentino's estimates, how many civilian deaths does he attribute to the French during the war?","By comparison to Dommen's calculation, Benjamin Valentino estimates that the French were responsible for 60,000–250,000 civilian deaths."
"What did the 1954 Geneva Accords conclude between France and the Việt Minh, regarding the Việt Minh's forces and anti-Communist groups?","The 1954 Geneva Accords concluded between France and the Việt Minh, allowing the latter's forces to regroup in the North whilst anti-Communist groups settled in the South."
What happened to the Democratic Republic of Vietnam following the Geneva Accords?,"His Democratic Republic of Vietnam relocated to Hanoi and became the government of North Vietnam, a Communist-led one-party state."
What provision was made regarding the movement of people between the two regions of Vietnam after the Geneva Accords?,"Following the Geneva Accords, there was to be a 300-day period in which people could freely move between the two regions of Vietnam, later known as South Vietnam and North Vietnam."
"During the 300-day period after the Geneva Accords, what campaign did Diệm and CIA adviser Colonel Edward Lansdale stage?","During the 300 days, Diệm and CIA adviser Colonel Edward Lansdale staged a campaign to convince people to move to South Vietnam."
Who was the campaign particularly focused on during the 300-day period after the Geneva Accords?,"The campaign was particularly focused on Vietnam's Catholics, who were to provide Diệm's power base in his later years, with the use of the slogan ""God has gone south""."
"How many people migrated to the South during the 300-day period after the Geneva Accords, according to estimates?","Between 800,000 and 1,000,000 people migrated to the South, mostly Catholics."
What event occurred at the start of 1955 in relation to French Indochina?,"At the start of 1955, French Indochina was dissolved, leaving Diệm in temporary control of the South."
What was the stance of all parties at the Geneva Conference regarding reunification elections?,"All the parties at Geneva called for reunification elections, but they could not agree on the details."
What proposal did Việt Minh acting foreign minister Phạm Văn Đồng make regarding the supervision of elections?,"Recently appointed Việt Minh acting foreign minister Phạm Văn Đồng proposed elections under the supervision of ""local commissions""."
"What plan did the United States, along with Britain and the Associated States of Vietnam, Laos, and Cambodia, suggest for the supervision of elections?","The United States, with the support of Britain and the Associated States of Vietnam, Laos, and Cambodia, suggested United Nations supervision."
Why was the plan suggested by the United States rejected by Soviet representative Vyacheslav Molotov?,"This plan was rejected by Soviet representative Vyacheslav Molotov, who argued for a commission composed of an equal number of communist and non-communist members, which could determine ""important"" issues only by unanimous agreement."
What was the major point of contention regarding the date for the elections for reunification?,The negotiators were unable to agree on a date for the elections for reunification.
What was North Vietnam's proposal regarding the timeline for reunification elections?,North Vietnam argued that the elections should be held within six months of the ceasefire while the Western allies sought to have no deadline.
What timeline did Molotov propose for the reunification elections?,"Molotov proposed June 1955, then later softened this to any time in 1955 and finally July 1956."
What was the stance of the Diem government regarding reunification elections?,"The Diem government supported reunification elections, but only with effective international supervision, arguing that genuinely free elections were otherwise impossible in the totalitarian North."
When were the remaining outstanding issues at the Geneva Conference resolved?,"By the afternoon of 20 July 1954, the remaining outstanding issues were resolved as the parties agreed that the partition line should be at the 17th parallel and the elections for a reunified government should be held in July 1956, two years after the ceasefire."
Who signed the Agreement on the Cessation of Hostilities in Vietnam?,"The Agreement on the Cessation of Hostilities in Vietnam was only signed by the French and Việt Minh military commands, with no participation or consultation of the State of Vietnam."
Who chaired the International Control Commission (ICC) tasked with supervising the ceasefire?,"Based on a proposal by Chinese delegation head Zhou Enlai, an International Control Commission (ICC) chaired by India, with Canada and Poland as members, was placed in charge of supervising the ceasefire."
How did Poland's presence in the ICC affect the supervision of the treaty?,"Because issues were to be decided unanimously, Poland's presence in the ICC provided the Communists with effective veto power over supervision of the treaty."
What did the unsigned Final Declaration of the Geneva Conference call for?,"The unsigned Final Declaration of the Geneva Conference called for reunification elections, which the majority of delegates expected to be supervised by the ICC."
Why did the Việt Minh never accept ICC authority over reunification elections?,"The Việt Minh never accepted ICC authority over such elections, insisting that the ICC's ""competence was to be limited to the supervision and control of the implementation of the Agreement on the Cessation of Hostilities by both parties""."
Which countries refused to accept the Final Declaration of the Geneva Conference?,"Of the nine nations represented, only the United States and the State of Vietnam refused to accept the declaration."
What was the United States' position on achieving unity in Vietnam?,"Undersecretary of state Walter Bedell Smith delivered a ""unilateral declaration"" of the United States position, reiterating: ""We shall seek to achieve unity through free elections supervised by the United Nations to ensure that they are conducted fairly""."
What agrarian reforms were instituted by the North Vietnamese government between 1953 and 1956?,"Between 1953 and 1956, the North Vietnamese government instituted various agrarian reforms, including ""rent reduction"" and ""land reform"", which were accompanied with executions of ""reactionary and evil landlords."""
What was the estimated ratio of executions per village resident during the land reform campaign?,"During the land reform, testimonies by North Vietnamese witnesses suggested a ratio of one execution per 160 village residents, which if extrapolated would indicate a nationwide total of nearly 100,000 executions."
What was the widely accepted lower estimate of executions during the land reform campaign?,"Because the campaign was concentrated mainly in the Red River Delta area, a lower estimate of 50,000 executions was widely accepted by scholars at the time."
What do declassified documents from Vietnamese and Hungarian archives suggest about the actual number of executions?,"However, declassified documents from the Vietnamese and Hungarian archives indicate that the number of executions was much lower than reported at the time, although it was likely greater than 13,500."
What action did North Vietnam take in early 1956 regarding land reform?,"In early 1956, North Vietnam ended the land reform and initiated a ""correction of errors"" to rectify the mistakes and damage done."
What did Ho Chi Minh do in 1956 regarding the mistakes made in the land reform?,"That year, Ho Chi Minh apologised and acknowledged the serious errors the government had made in the land reform."
How many political prisoners were released by North Vietnam as part of the correction campaign by September 1957?,"As part of the campaign, as many as 23,748 political prisoners were released by North Vietnam by September 1957."
What was the outcome of the correction campaign by 1958?,"By 1958, the correction campaign had resulted in the return of land to many of those harmed by the land reform."
When was the idea of overthrowing the South Vietnamese government first presented at a Politburo meeting?,"As early as June 1956, the idea of overthrowing the South Vietnamese government was presented at a Politburo meeting."
What action did Hồ Chí Minh urge the Politburo to take in 1959 regarding aid to the Việt Cộng in South Vietnam?,"In 1959, Hồ Chí Minh began urging the Politburo to send aid to the Việt Cộng in South Vietnam; a ""people's war"" on the South was approved at a session in January 1959, and this decision was confirmed by the Politburo in March."
What event occurred in July 1959 involving North Vietnam's military action in Laos?,"North Vietnam invaded Laos in July 1959, aided by the Pathet Lao, and used 30,000 men to build a network of supply and reinforcement routes running through Laos and Cambodia that became known as the Hồ Chí Minh trail."
What strategic advantage did the Hồ Chí Minh trail provide to North Vietnam?,"It allowed the North to send manpower and material to the Việt Cộng with much less exposure to South Vietnamese forces, achieving a considerable advantage."
How did communist propaganda address accusations of North Vietnam violating the Geneva Accord?,"To counter the accusation that North Vietnam was violating the Geneva Accord, the independence of the Việt Cộng was stressed in communist propaganda."
What organization did North Vietnam establish in December 1960 to support the Viet Cong in South Vietnam?,"North Vietnam created the National Liberation Front of South Vietnam in December 1960 as a ""united front"", or political branch of the Viet Cong, intended to encourage the participation of non-Communists."
What action did Hồ Chí Minh take at the end of 1959 regarding the next party leader in North Vietnam?,"At the end of 1959, aware that the national election would never be held and that Diem intended to purge opposing forces (mostly ex-Việt Minh) from South Vietnamese society, Hồ Chí Minh informally chose Lê Duẩn to become the next party leader."
How was Hồ Chí Minh's choice of Lê Duẩn as the next party leader interpreted by Western analysts?,"This was interpreted by Western analysts as a loss of influence for Hồ, who was said to have preferred the more moderate Võ Nguyên Giáp for the position."
"What concern did Hồ Chí Minh begin to have in 1959, leading him to write down his will?","From 1959 onward, the elderly Hồ became increasingly worried about the prospect of his death, and that year he wrote down his will."
"Who officially became the party leader in 1960, leaving Hồ Chí Minh in a secondary role?","Lê Duẩn was officially named party leader in 1960, leaving Hồ to function in a secondary role as head of state and member of the Politburo."
"Despite being in a secondary role, how did Hồ Chí Minh maintain influence in the government?",He nevertheless maintained considerable influence in the government.
Who were some key figures that often shared dinner with Hồ Chí Minh in the early 1960s?,"Lê Duẩn, Tố Hữu, Trường Chinh and Phạm Văn Đồng often shared dinner with Hồ, and all of them remained key figures throughout and after the war."
"What were the two main factions within the North Vietnamese Politburo in the early 1960s, and what were their respective focuses?","In the early 1960s, the North Vietnamese Politburo was divided into the ""North First"" faction which favored focusing on the economic development of North Vietnam, and the ""South First"" faction, which favored a guerrilla war in South Vietnam to reunite Vietnam shortly."
What significant military action occurred between 1961 and 1963 involving Communist soldiers?,"Between 1961 and 1963, 40,000 Communist soldiers infiltrated South Vietnam from the North."
What purported correspondence occurred between Hồ Chí Minh and South Vietnamese President Diem in 1963?,"In 1963, Hồ purportedly corresponded with South Vietnamese President Diem in hopes of achieving a negotiated peace."
What diplomatic initiative was launched in 1963 to achieve a federation of the two Vietnams?,"During the so-called ""Maneli Affair"" of 1963, a French diplomatic initiative was launched to achieve a federation of the two Vietnams, which would be neutral in the Cold War."
Who were the four principal diplomats involved in the 'Maneli affair'?,"The four principal diplomats involved in the ""Maneli affair"" were Ramchundur Goburdhun, the Indian Chief Commissioner of the ICC; Mieczysław Maneli, the Polish Commissioner to the ICC; Roger Lalouette, the French ambassador to South Vietnam; and Giovanni d'Orlandi, the Italian ambassador to South Vietnam."
"What was Hồ Chí Minh's attitude towards the American and South Vietnamese leadership, as reported by Mieczysław Maneli?","Maneli reported that Hồ was very interested in the signs of a split between President Diem and President Kennedy and that his attitude was: ""Our real enemies are the Americans."
What aspect of the Ho Chi Minh Trail did Hồ Chí Minh and Maneli discuss during their meeting?,"Get rid of them, and we can cope with Diem and Nhu afterward""."
What did Hồ Chí Minh say about President Diem during a meeting with Ramchundur Goburdhun in Hanoi?,"Hồ and Maneli also discussed the Ho Chi Minh Trail, which passed through officially neutral Cambodia and Laos, saying ""Indochina is just one single entity""."
What was North Vietnamese Premier Phạm Văn Đồng's response to the peace plan discussed by Maneli?,"At a meeting in Hanoi held in French, Hồ told Goburdhun that Diem was ""in his way a patriot"", noting that Diem had opposed French rule over Vietnam, and ended the meeting saying that the next time Goburdhun met Diem ""shake hands with him for me""."
"Who did Mieczysław Maneli meet with on September 2, 1963, to discuss the French peace plan?","The North Vietnamese Premier Phạm Văn Đồng, speaking on behalf of Hồ, told Maneli he was interested in the peace plan, saying that just as long as the American advisers left South Vietnam ""we can agree with any Vietnamese""."
What remains unclear about the Ngo brothers' response to the French peace plan?,"On 2 September 1963, Maneli met with Ngô Đình Nhu, the younger brother and right-hand man to Diem to discuss the French peace plan."
What action by Ngô Đình Nhu following his meeting with Maneli suggested a potential ulterior motive for considering the peace plan?,It remains unclear if the Ngo brothers were serious about the French peace plan or were merely using the possibility of accepting it to blackmail the United States into supporting them at a time when the Buddhist crisis had seriously strained relations between Saigon and Washington.
How did the leak of Ngô Đình Nhu's meeting with Maneli impact the Kennedy administration's strategy towards the Ngo brothers?,"Supporting the latter theory is the fact that Nhu promptly leaked his meeting with Maneli to the American columnist Joseph Alsop, who publicized it in a column entitled ""Very Ugly Stuff""."
What was the Kennedy administration's response to the possibility of the Ngo brothers accepting the peace plan?,The possibility that the Ngo brothers might accept the peace plan contributed to the Kennedy administration's plan to support a coup against them.
"What significant event occurred on November 1, 1963, in South Vietnam?","On 1 November 1963, a coup overthrew Diem, who was killed the next day together with his brother."
What policy did Diem follow that aimed to prevent a coup against him?,"Diem had followed a policy of ""deconstructing the state"" by creating several overlapping agencies and departments that were encouraged to feud with one another to disorganize the South Vietnamese state to such an extent that he hoped that it would make a coup against him impossible."
What was the immediate consequence of Diem's overthrow and death for the South Vietnamese state?,"When Diem was overthrown and killed, without any kind of arbiter between the rival arms of the South Vietnamese state, regime authority in South Vietnam promptly disintegrated."
What assessment did American Defense Secretary Robert McNamara provide after visiting South Vietnam in December 1963?,"The American Defense Secretary Robert McNamara reported after visiting South Vietnam in December 1963 that ""there is no organized government worthy of the name"" in Saigon."
What decision did the Politburo of North Vietnam make regarding the overthrow of the regime in Saigon at a meeting in December 1963?,"At a meeting of the plenum of the Politburo in December 1963, Lê Duẩn's ""South first"" faction triumphed, with the Politburo passing a resolution calling for North Vietnam to complete the overthrow of the regime in Saigon as soon as possible; while the members of the ""North first"" faction were dismissed."
How did the situation in South Vietnam impact Hồ Chí Minh's interest in the French peace plan?,"As the South descended into chaos, whatever interest Hồ might have had in the French peace plan faded, as it became clear the Viet Cong could overthrow the government in Saigon."
What did a CIA report from 1964 state about the factionalism in South Vietnam?,"A CIA report from 1964 stated that factionalism in South Vietnam had reached ""almost the point of anarchy"" as various South Vietnamese leaders fought one another, making any sort of effort against the Viet Cong impossible, which was rapidly taking over much of the South Vietnamese countryside."
What realization did President Lyndon Johnson come to as South Vietnam descended into chaos and the Viet Cong gained ground?,"As South Vietnam collapsed into factionalism and in-fighting while the Viet Cong continued to win the war, it became increasingly apparent to President Lyndon Johnson that only American military intervention could save South Vietnam."
How did President Lyndon Johnson attempt to communicate his intentions to Hanoi in June 1964?,"Though Johnson did not wish to commit American forces until he had won the 1964 election, he decided to make his intentions clear to Hanoi."
What was the purpose of the 'Seaborn Mission' that began in June 1964?,"In June 1964, the ""Seaborn Mission"" began as J. Blair Seaborn, the Canadian commissioner to the ICC, arrived in Hanoi with a message from Johnson offering billions of American economic aid and diplomatic recognition in exchange for which North Vietnam would cease trying to overthrow the government of South Vietnam."
"What potential action did President Johnson consider against North Vietnam, as warned by Seaborn?","Seaborn also warned that North Vietnam would suffer the ""greatest devastation"" from American bombing, saying that Johnson was seriously considering a strategic bombing campaign against North Vietnam."
What was the outcome of the backchannel of the 'Seaborn Mission' regarding Seaborn's interaction with Hồ Chí Minh?,"Little came of the backchannel of the ""Seaborn Mission"" as the North Vietnamese distrusted Seaborn, who pointedly was never allowed to meet Hồ."
Where were People's Army of Vietnam combat troops sent in late 1964?,"In late 1964, the People's Army of Vietnam combat troops were sent southwest into officially neutral Laos and Cambodia."
"When did American combat troops begin arriving in South Vietnam, and for what initial purpose?","By March 1965, American combat troops began arriving in South Vietnam, first to protect the airbases around Chu Lai and Da Nang, later to take on most of the fight as "" ore and more American troops were put in to replace Saigon troops who could not or would not, get involved in the fighting""."
What significant military operation began with widespread aerial and artillery bombardment by the United States in North Vietnam?,"As fighting escalated, widespread aerial and artillery bombardment all over North Vietnam by the United States Air Force and Navy began with Operation Rolling Thunder."
When did Hồ Chí Minh make a secret visit to Beijing to meet Mao Zedong?,"On 8–9 April 1965, Hồ made a secret visit to Beijing to meet Mao Zedong."
What agreement was reached during Hồ Chí Minh's visit to Beijing regarding Chinese combat troops in North Vietnam?,"It was agreed that no Chinese combat troops would enter North Vietnam unless the United States invaded North Vietnam, but that China would send support troops to North Vietnam to help maintain the infrastructure damaged by American bombing."
How was the suggestion of allowing Chinese troops into North Vietnam received by the North Vietnamese Politburo?,"There was deep distrust and fear of China within the North Vietnamese Politburo and the suggestion that Chinese troops, even support troops, be allowed into North Vietnam, caused outrage in the Politburo."
